Time,Away,Away Team Score,Play Team Indicator,Home Team Score,Home
--,"REBOUND OFF by NEWELL,MARK",,,,
13:16,"MISS 3PTR by CWALINA,KUBA",,,,
--,REBOUND OFF by TEAM,,,,
13:13,"SUB OUT by RAMEY,SAWYER",,,,
13:13,"SUB IN by URENA,OLIVER",,,,
13:01,"MISS 3PTR by CWALINA,KUBA",,,,
--,,,,,"REBOUND DEF by MORGAN,HANK"
12:51,,,,,"MISS 3PTR by SINGH,TEJA"
--,,,,,"REBOUND OFF by REESE,JALEN"
12:42,,,,,"MISS LAYUP by KEYHANI,GARRET(in the paint)"
--,"REBOUND DEF by MCKERSIE,JACKSON",,,,
12:29,"FOUL by NEWELL,MARK",,,,
12:29,"TURNOVER by NEWELL,MARK",,,,
12:29,,,,,"SUB OUT by SINGH,TEJA"
12:29,,,,,"SUB IN by RAUB,NATE"
12:29,"SUB OUT by CWALINA,KUBA",,,,
12:29,"SUB OUT by NEWELL,MARK",,,,
12:29,"SUB IN by BRENNAN,DAVID",,,,
12:29,"SUB IN by STEVENS,SAM",,,,
12:09,,13,,14 (+1),"GOOD DUNK by REESE,JALEN(in the paint)"
--,,,,,"ASSIST by MORGAN,HANK"
12:09,"FOUL by MCKERSIE,JACKSON",,,,
12:09,"SUB OUT by MURRAY,IAN",,,,
12:09,"SUB IN by RAMEY,SAWYER",,,,
12:09,,13,,15 (+2),"GOOD FT by REESE,JALEN"
11:58,"TURNOVER by RAMEY,SAWYER",,,,
11:46,,,,,"MISS JUMPER by MORGAN,HANK"
--,"REBOUND DEF by MCKERSIE,JACKSON",,,,
11:34,"SUB OUT by MCKERSIE,JACKSON",,,,
11:34,"SUB IN by WITHERINGTON,EDWARD",,,,
11:19,"GOOD JUMPER by STEVENS,SAM",15,,15,
11:07,,,,,"MISS JUMPER by RIDEOUT,MATTHEW(in the paint)"
--,"REBOUND DEF by RAMEY,SAWYER",,,,
10:59,"GOOD LAYUP by URENA,OLIVER(fastbreak)(in the paint)",17 (+2),,15,
--,"ASSIST by STEVENS,SAM",,,,
10:46,,,,,"MISS 3PTR by MORGAN,HANK"
--,REBOUND DEADB by TEAM,,,,
10:42,,,,,"FOUL by KEYHANI,GARRET"
10:42,,,,,"SUB OUT by MORGAN,HANK"
10:42,,,,,"SUB OUT by KEYHANI,GARRET"
10:42,,,,,"SUB OUT by RAUB,NATE"
10:42,,,,,"SUB IN by SINGH,TEJA"
10:42,,,,,"SUB IN by JENKINS,CONNOR"
10:42,,,,,"SUB IN by KANE,OWEN"
10:31,,,,,"FOUL by REESE,JALEN"
10:21,"TURNOVER by STEVENS,SAM",,,,
10:21,,,,,"STEAL by KANE,OWEN"
10:16,,17,,17,"GOOD LAYUP by KANE,OWEN(fastbreak)(in the paint)"
10:01,"MISS 3PTR by RAMEY,SAWYER",,,,
--,,,,,"REBOUND DEF by JENKINS,CONNOR"
9:48,"FOUL by URENA,OLIVER",,,,
9:48,"SUB OUT by URENA,OLIVER",,,,
9:48,"SUB IN by CWALINA,KUBA",,,,
9:37,,,,,"MISS JUMPER by SINGH,TEJA"
--,"REBOUND DEF by WITHERINGTON,EDWARD",,,,
9:21,"MISS JUMPER by STEVENS,SAM",,,,
--,,,,,"REBOUND DEF by REESE,JALEN"
9:03,,17,,19 (+2),"GOOD JUMPER by REESE,JALEN(in the paint)"
8:47,"GOOD 3PTR by CWALINA,KUBA",20 (+1),,19,
--,"ASSIST by BRENNAN,DAVID",,,,
8:23,,20,,21 (+1),"GOOD JUMPER by RIDEOUT,MATTHEW(in the paint)"
7:55,"MISS 3PTR by STEVENS,SAM",,,,
--,,,,,"REBOUND DEF by JENKINS,CONNOR"
7:40,,,,,"MISS LAYUP by REESE,JALEN(in the paint)"
--,,,,,"REBOUND OFF by SINGH,TEJA"
7:37,,,,,"MISS JUMPER by SINGH,TEJA(in the paint)"
--,"REBOUND DEF by WITHERINGTON,EDWARD",,,,
7:29,TIMEOUT TEAM by TEAM,,,,
7:29,,,,,"SUB OUT by RIDEOUT,MATTHEW"
7:29,,,,,"SUB IN by NELSON,SHARIF"
7:29,"SUB OUT by RAMEY,SAWYER",,,,
7:29,"SUB OUT by BRENNAN,DAVID",,,,
7:29,"SUB IN by MURRAY,IAN",,,,
7:29,"SUB IN by NEWELL,MARK",,,,
7:28,,,,,"FOUL by REESE,JALEN"
7:28,,,,,"SUB OUT by REESE,JALEN"
7:28,,,,,"SUB IN by ROBINSON,GRAHAM"
7:25,"TURNOVER by NEWELL,MARK",,,,
7:25,,,,,"STEAL by KANE,OWEN"
7:09,"FOUL by NEWELL,MARK",,,,
7:09,,20,,22 (+2),"GOOD FT by KANE,OWEN"
7:09,,20,,23 (+3),"GOOD FT by KANE,OWEN"
6:50,"TURNOVER by STEVENS,SAM",,,,
6:50,"SUB OUT by STEVENS,SAM",,,,
6:50,"SUB IN by ALBERTS,MAXWELL",,,,
6:32,,20,,25 (+5),"GOOD JUMPER by SINGH,TEJA"
6:06,"GOOD LAYUP by WITHERINGTON,EDWARD(in the paint)",22,,25 (+3),
--,"ASSIST by NEWELL,MARK",,,,
5:45,,,,,"MISS 3PTR by ROBINSON,GRAHAM"
--,REBOUND DEF by TEAM,,,,
5:42,,,,,"SUB OUT by JENKINS,CONNOR"
5:42,,,,,"SUB OUT by KANE,OWEN"
5:42,,,,,"SUB IN by MORGAN,HANK"
5:42,,,,,"SUB IN by KEYHANI,GARRET"
5:42,"SUB OUT by CWALINA,KUBA",,,,
5:42,"SUB IN by STEVENS,SAM",,,,
5:24,"TURNOVER by STEVENS,SAM",,,,
5:24,,,,,"STEAL by ROBINSON,GRAHAM"
5:20,,22,,27 (+5),"GOOD LAYUP by NELSON,SHARIF(fastbreak)(in the paint)"
5:02,"TURNOVER by STEVENS,SAM",,,,
5:02,"SUB OUT by MURRAY,IAN",,,,
5:02,"SUB OUT by NEWELL,MARK",,,,
5:02,"SUB OUT by STEVENS,SAM",,,,
5:02,"SUB IN by CWALINA,KUBA",,,,
5:02,"SUB IN by RAMEY,SAWYER",,,,
5:02,"SUB IN by BRENNAN,DAVID",,,,
4:54,,,,,"MISS 3PTR by SINGH,TEJA"
--,"REBOUND DEF by WITHERINGTON,EDWARD",,,,
4:32,"GOOD LAYUP by BRENNAN,DAVID(in the paint)",24,,27 (+3),
4:17,,,,,"MISS LAYUP by KEYHANI,GARRET(in the paint)"
--,"REBOUND DEF by BRENNAN,DAVID",,,,
4:10,"GOOD 3PTR by ALBERTS,MAXWELL",27,,27,
--,"ASSIST by RAMEY,SAWYER",,,,
4:08,,,,,TIMEOUT 30SEC by TEAM
4:08,,,,,"SUB OUT by SINGH,TEJA"
4:08,,,,,"SUB OUT by NELSON,SHARIF"
4:08,,,,,"SUB IN by RIDEOUT,MATTHEW"
4:08,,,,,"SUB IN by RAUB,NATE"
3:56,,,,,"MISS LAYUP by MORGAN,HANK(in the paint)"
3:56,"BLOCK by CWALINA,KUBA",,,,
--,"REBOUND DEF by BRENNAN,DAVID",,,,
3:50,"TURNOVER by BRENNAN,DAVID",,,,
3:50,,,,,"STEAL by MORGAN,HANK"
3:47,,27,,29 (+2),"GOOD JUMPER by MORGAN,HANK(fastbreak)(in the paint)"
3:32,"MISS JUMPER by ALBERTS,MAXWELL",,,,
--,"REBOUND OFF by BRENNAN,DAVID",,,,
3:26,"GOOD 3PTR by CWALINA,KUBA",30 (+1),,29,
2:58,,30,,31 (+1),"GOOD LAYUP by MORGAN,HANK(in the paint)"
2:33,,,,,"SUB OUT by ROBINSON,GRAHAM"
2:33,,,,,"SUB IN by KANE,OWEN"
2:33,"SUB OUT by ALBERTS,MAXWELL",,,,
2:33,"SUB IN by STEVENS,SAM",,,,
2:27,"MISS JUMPER by WITHERINGTON,EDWARD(in the paint)",,,,
--,"REBOUND OFF by BRENNAN,DAVID",,,,
2:23,"MISS 3PTR by RAMEY,SAWYER",,,,
--,,,,,"REBOUND DEF by RAUB,NATE"
2:15,,,,,"MISS JUMPER by MORGAN,HANK(in the paint)"
--,"REBOUND DEF by CWALINA,KUBA",,,,
2:08,"GOOD LAYUP by STEVENS,SAM(fastbreak)(in the paint)",32 (+1),,31,
--,"ASSIST by RAMEY,SAWYER",,,,
1:53,,,,,"TURNOVER by RIDEOUT,MATTHEW"
1:29,"GOOD 3PTR by CWALINA,KUBA",35 (+4),,31,
--,"ASSIST by RAMEY,SAWYER",,,,
1:09,"FOUL by WITHERINGTON,EDWARD",,,,
1:09,,35 (+3),,32,"GOOD FT by RAUB,NATE"
1:09,,,,,"SUB OUT by KEYHANI,GARRET"
1:09,,,,,"SUB IN by SINGH,TEJA"
1:09,"SUB OUT by BRENNAN,DAVID",,,,
1:09,"SUB IN by NEWELL,MARK",,,,
1:09,,35 (+2),,33,"GOOD FT by RAUB,NATE"
0:50,"MISS LAYUP by NEWELL,MARK(in the paint)",,,,
--,,,,,"REBOUND DEF by MORGAN,HANK"
0:43,"FOUL by NEWELL,MARK",,,,
0:43,"SUB OUT by NEWELL,MARK",,,,
0:43,"SUB IN by BRENNAN,DAVID",,,,
0:43,,35 (+1),,34,"GOOD FT by KANE,OWEN(fastbreak)"
0:43,,35,,35,"GOOD FT by KANE,OWEN(fastbreak)"
0:36,"MISS 3PTR by CWALINA,KUBA",,,,
--,,,,,"REBOUND DEF by SINGH,TEJA"
0:06,,,,,"MISS 3PTR by RAUB,NATE"
--,"REBOUND DEF by RAMEY,SAWYER",,,,
0:00,"MISS 3PTR by RAMEY,SAWYER",,,,
--,REBOUND OFF by TEAM,,,,
20:00,,,,,"SUB OUT by RIDEOUT,MATTHEW"
20:00,,,,,"SUB OUT by KANE,OWEN"
20:00,,,,,"SUB OUT by RAUB,NATE"
20:00,,,,,"SUB IN by REESE,JALEN"
20:00,,,,,"SUB IN by KEYHANI,GARRET"
20:00,,,,,"SUB IN by ROBINSON,GRAHAM"
19:50,,35,,37 (+2),"GOOD LAYUP by KEYHANI,GARRET(in the paint)"
--,,,,,"ASSIST by MORGAN,HANK"
19:29,"MISS JUMPER by CWALINA,KUBA",,,,
--,,,,,"REBOUND DEF by MORGAN,HANK"
19:18,,,,,"MISS JUMPER by SINGH,TEJA(in the paint)"
--,,,,,"REBOUND OFF by REESE,JALEN"
19:13,,,,,"MISS LAYUP by REESE,JALEN(in the paint)"
--,,,,,"REBOUND OFF by KEYHANI,GARRET"
19:12,,35,,39 (+4),"GOOD TIPIN by KEYHANI,GARRET(in the paint)"
18:58,"GOOD JUMPER by CWALINA,KUBA",37,,39 (+2),
18:35,,37,,41 (+4),"GOOD LAYUP by REESE,JALEN(in the paint)"
18:11,"GOOD JUMPER by CWALINA,KUBA(in the paint)",39,,41 (+2),
--,"ASSIST by STEVENS,SAM",,,,
17:52,,39,,44 (+5),"GOOD 3PTR by MORGAN,HANK"
--,,,,,"ASSIST by SINGH,TEJA"
17:34,"GOOD JUMPER by WITHERINGTON,EDWARD",41,,44 (+3),
--,"ASSIST by BRENNAN,DAVID",,,,
17:20,"FOUL by BRENNAN,DAVID",,,,
17:19,,41,,45 (+4),"GOOD FT by MORGAN,HANK"
17:19,,41,,46 (+5),"GOOD FT by MORGAN,HANK"
17:01,"MISS 3PTR by CWALINA,KUBA",,,,
--,REBOUND DEADB by TEAM,,,,
17:00,,,,,"FOUL by ROBINSON,GRAHAM"
17:00,,,,,"SUB OUT by ROBINSON,GRAHAM"
17:00,,,,,"SUB IN by KANE,OWEN"
16:47,"MISS 3PTR by STEVENS,SAM",,,,
--,,,,,"REBOUND DEF by KEYHANI,GARRET"
16:36,,,,,"MISS JUMPER by SINGH,TEJA(in the paint)"
--,"REBOUND DEF by BRENNAN,DAVID",,,,
16:23,"MISS LAYUP by RAMEY,SAWYER(in the paint)",,,,
--,"REBOUND OFF by BRENNAN,DAVID",,,,
16:17,"MISS 3PTR by RAMEY,SAWYER",,,,
--,,,,,"REBOUND DEF by KANE,OWEN"
15:59,,41,,49 (+8),"GOOD 3PTR by MORGAN,HANK"
--,,,,,"ASSIST by SINGH,TEJA"
15:55,TIMEOUT 30SEC by TEAM,,,,
15:55,"SUB OUT by STEVENS,SAM",,,,
15:55,"SUB IN by ALBERTS,MAXWELL",,,,
15:28,"MISS LAYUP by BRENNAN,DAVID(in the paint)",,,,
--,,,,,"REBOUND DEF by MORGAN,HANK"
15:28,,,,,"BLOCK by KANE,OWEN"
15:21,,41,,51 (+10),"GOOD LAYUP by MORGAN,HANK(fastbreak)(in the paint)"
15:07,"TURNOVER by CWALINA,KUBA",,,,
15:07,"SUB OUT by CWALINA,KUBA",,,,
15:07,"SUB OUT by WITHERINGTON,EDWARD",,,,
15:07,"SUB OUT by BRENNAN,DAVID",,,,
15:07,"SUB IN by NEWELL,MARK",,,,
15:07,"SUB IN by MCKERSIE,JACKSON",,,,
15:07,"SUB IN by STEVENS,SAM",,,,
14:51,,,,,"MISS LAYUP by REESE,JALEN(in the paint)"
--,,,,,"REBOUND OFF by KEYHANI,GARRET"
14:49,,41,,53 (+12),"GOOD TIPIN by KEYHANI,GARRET(in the paint)"
14:46,"FOUL by NEWELL,MARK",,,,
14:46,"SUB OUT by NEWELL,MARK",,,,
14:46,"SUB IN by SCHMITT,SCOTT",,,,
14:36,,,,,"TURNOVER by KANE,OWEN"
14:36,"STEAL by RAMEY,SAWYER",,,,
14:31,"TURNOVER by RAMEY,SAWYER",,,,
14:31,,,,,"STEAL by KEYHANI,GARRET"
14:29,,41,,55 (+14),"GOOD JUMPER by KEYHANI,GARRET(in the paint)"
14:18,"SUB OUT by RAMEY,SAWYER",,,,
14:18,"SUB IN by MURRAY,IAN",,,,
14:14,"GOOD LAYUP by SCHMITT,SCOTT(in the paint)",43,,55 (+12),
--,"ASSIST by MCKERSIE,JACKSON",,,,
13:59,,,,,"MISS JUMPER by KEYHANI,GARRET(in the paint)"
13:59,"BLOCK by SCHMITT,SCOTT",,,,
--,"REBOUND DEF by MCKERSIE,JACKSON",,,,
13:47,"TURNOVER by MURRAY,IAN",,,,
13:47,,,,,"STEAL by KEYHANI,GARRET"
13:45,,43,,57 (+14),"GOOD LAYUP by KEYHANI,GARRET(fastbreak)(in the paint)"
13:44,"FOUL by MURRAY,IAN",,,,
13:44,,,,,"MISS FT by KEYHANI,GARRET(fastbreak)"
--,"REBOUND DEF by MURRAY,IAN",,,,
13:36,,,,,"FOUL by MORGAN,HANK"
13:36,"SUB OUT by ALBERTS,MAXWELL",,,,
13:36,"SUB IN by CWALINA,KUBA",,,,
13:23,"TURNOVER by SCHMITT,SCOTT",,,,
13:06,,,,,"MISS 3PTR by SINGH,TEJA"
--,,,,,"REBOUND OFF by REESE,JALEN"
13:01,,,,,"MISS JUMPER by MORGAN,HANK"
--,REBOUND DEADB by TEAM,,,,
13:00,,,,,"FOUL by KEYHANI,GARRET"
13:00,"SUB OUT by MURRAY,IAN",,,,
13:00,"SUB OUT by MCKERSIE,JACKSON",,,,
13:00,"SUB IN by RAMEY,SAWYER",,,,
13:00,"SUB IN by BRENNAN,DAVID",,,,
12:52,"MISS LAYUP by BRENNAN,DAVID(in the paint)",,,,
--,"REBOUND OFF by SCHMITT,SCOTT",,,,
12:49,"MISS TIPIN by SCHMITT,SCOTT(in the paint)",,,,
--,,,,,"REBOUND DEF by KANE,OWEN"
12:42,,,,,"MISS JUMPER by SINGH,TEJA(in the paint)"
--,"REBOUND DEF by BRENNAN,DAVID",,,,
12:35,"GOOD LAYUP by STEVENS,SAM(fastbreak)(in the paint)",45,,57 (+12),
12:24,,,,,"FOUL by MORGAN,HANK"
12:24,,,,,"TURNOVER by MORGAN,HANK"
12:24,,,,,"SUB OUT by SINGH,TEJA"
12:24,,,,,"SUB IN by RIDEOUT,MATTHEW"
12:24,"SUB OUT by SCHMITT,SCOTT",,,,
12:24,"SUB IN by WITHERINGTON,EDWARD",,,,
12:12,"GOOD 3PTR by WITHERINGTON,EDWARD",48,,57 (+9),
--,"ASSIST by RAMEY,SAWYER",,,,
11:58,,,,,"MISS JUMPER by MORGAN,HANK(in the paint)"
--,"REBOUND DEF by RAMEY,SAWYER",,,,
11:44,"MISS 3PTR by STEVENS,SAM",,,,
--,REBOUND OFF by TEAM,,,,
11:40,,,,,"SUB OUT by KANE,OWEN"
11:40,,,,,"SUB IN by JENKINS,CONNOR"
11:31,"GOOD 3PTR by WITHERINGTON,EDWARD",51,,57 (+6),
--,"ASSIST by RAMEY,SAWYER",,,,
11:12,,,,,"MISS JUMPER by REESE,JALEN(in the paint)"
--,"REBOUND DEF by WITHERINGTON,EDWARD",,,,
11:03,"TURNOVER by RAMEY,SAWYER",,,,
10:49,,51,,59 (+8),"GOOD JUMPER by MORGAN,HANK"
10:35,"GOOD 3PTR by WITHERINGTON,EDWARD",54,,59 (+5),
--,"ASSIST by RAMEY,SAWYER",,,,
10:20,,,,,"TURNOVER by RIDEOUT,MATTHEW"
10:00,"MISS 3PTR by CWALINA,KUBA",,,,
--,,,,,"REBOUND DEF by MORGAN,HANK"
9:39,,,,,"MISS 3PTR by JENKINS,CONNOR"
--,,,,,"REBOUND OFF by REESE,JALEN"
9:37,"FOUL by BRENNAN,DAVID",,,,
9:37,,,,,"SUB OUT by MORGAN,HANK"
9:37,,,,,"SUB IN by NELSON,SHARIF"
9:27,,,,,"MISS JUMPER by KEYHANI,GARRET(in the paint)"
--,"REBOUND DEF by CWALINA,KUBA",,,,
9:10,,,,,"FOUL by NELSON,SHARIF"
9:10,"GOOD FT by STEVENS,SAM",55,,59 (+4),
9:10,"SUB OUT by CWALINA,KUBA",,,,
9:10,"SUB IN by ALBERTS,MAXWELL",,,,
9:10,"GOOD FT by STEVENS,SAM",56,,59 (+3),
8:54,,56,,61 (+5),"GOOD JUMPER by NELSON,SHARIF(in the paint)"
8:32,"GOOD LAYUP by STEVENS,SAM(in the paint)",58,,61 (+3),
8:14,,,,,"TURNOVER by JENKINS,CONNOR"
8:14,,,,,"SUB OUT by NELSON,SHARIF"
8:14,,,,,"SUB OUT by JENKINS,CONNOR"
8:14,,,,,"SUB IN by MORGAN,HANK"
8:14,,,,,"SUB IN by SINGH,TEJA"
8:01,"GOOD 3PTR by WITHERINGTON,EDWARD",61,,61,
--,"ASSIST by BRENNAN,DAVID",,,,
7:41,,,,,"MISS JUMPER by RIDEOUT,MATTHEW(in the paint)"
--,,,,,"REBOUND OFF by SINGH,TEJA"
7:26,,61,,64 (+3),"GOOD 3PTR by MORGAN,HANK"
7:22,,,,,TIMEOUT TEAM by TEAM
7:22,,,,,"SUB OUT by REESE,JALEN"
7:22,,,,,"SUB OUT by KEYHANI,GARRET"
7:22,,,,,"SUB IN by ROBINSON,GRAHAM"
7:22,,,,,"SUB IN by KANE,OWEN"
6:58,"GOOD LAYUP by BRENNAN,DAVID(in the paint)",63,,64 (+1),
--,"ASSIST by WITHERINGTON,EDWARD",,,,
6:46,"FOUL by STEVENS,SAM",,,,
6:46,,63,,65 (+2),"GOOD FT by MORGAN,HANK"
6:46,"SUB OUT by ALBERTS,MAXWELL",,,,
6:46,"SUB IN by CWALINA,KUBA",,,,
6:46,,,,,"MISS FT by MORGAN,HANK"
--,,,,,"REBOUND OFF by ROBINSON,GRAHAM"
6:38,,,,,"MISS JUMPER by MORGAN,HANK"
--,REBOUND DEADB by TEAM,,,,
6:36,,,,,"FOUL by MORGAN,HANK"
6:24,"MISS JUMPER by STEVENS,SAM(in the paint)",,,,
--,"REBOUND OFF by WITHERINGTON,EDWARD",,,,
6:07,"GOOD JUMPER by STEVENS,SAM(in the paint)",65,,65,
5:46,"FOUL by WITHERINGTON,EDWARD",,,,
5:46,,,,,"SUB OUT by ROBINSON,GRAHAM"
5:46,,,,,"SUB IN by REESE,JALEN"
5:37,,,,,"TURNOVER by SINGH,TEJA"
5:37,"STEAL by BRENNAN,DAVID",,,,
5:32,"MISS JUMPER by RAMEY,SAWYER(in the paint)",,,,
--,"REBOUND OFF by WITHERINGTON,EDWARD",,,,
5:31,"GOOD LAYUP by WITHERINGTON,EDWARD(in the paint)",67 (+2),,65,
5:15,,,,,"MISS JUMPER by MORGAN,HANK"
--,"REBOUND DEF by BRENNAN,DAVID",,,,
4:48,"MISS JUMPER by RAMEY,SAWYER(in the paint)",,,,
--,,,,,"REBOUND DEF by REESE,JALEN"
4:37,,67,,67,"GOOD JUMPER by RIDEOUT,MATTHEW"
4:13,"GOOD LAYUP by BRENNAN,DAVID(in the paint)",69 (+2),,67,
--,"ASSIST by WITHERINGTON,EDWARD",,,,
3:51,,69,,69,"GOOD JUMPER by MORGAN,HANK(in the paint)"
3:22,"MISS JUMPER by WITHERINGTON,EDWARD",,,,
--,,,,,"REBOUND DEF by KANE,OWEN"
2:59,,,,,"MISS JUMPER by MORGAN,HANK"
--,,,,,"REBOUND OFF by REESE,JALEN"
2:56,,69,,71 (+2),"GOOD TIPIN by REESE,JALEN(in the paint)"
2:44,TIMEOUT TEAM by TEAM,,,,
2:44,,,,,"SUB OUT by KANE,OWEN"
2:44,,,,,"SUB IN by KEYHANI,GARRET"
2:29,"MISS LAYUP by WITHERINGTON,EDWARD(in the paint)",,,,
--,,,,,"REBOUND DEF by KEYHANI,GARRET"
2:04,,,,,"MISS 3PTR by KEYHANI,GARRET"
--,"REBOUND DEF by BRENNAN,DAVID",,,,
1:47,"MISS LAYUP by RAMEY,SAWYER(in the paint)",,,,
--,,,,,REBOUND DEADB by TEAM
1:47,"FOUL by BRENNAN,DAVID",,,,
1:47,,69,,72 (+3),"GOOD FT by KEYHANI,GARRET"
1:47,,,,,"MISS FT by KEYHANI,GARRET"
--,"REBOUND DEF by BRENNAN,DAVID",,,,
1:27,"GOOD LAYUP by STEVENS,SAM(in the paint)",71,,72 (+1),
1:20,,,,,TIMEOUT 30SEC by TEAM
1:20,,,,,"SUB OUT by RIDEOUT,MATTHEW"
1:20,,,,,"SUB IN by KANE,OWEN"
1:09,,,,,"MISS LAYUP by MORGAN,HANK(in the paint)"
--,"REBOUND DEF by RAMEY,SAWYER",,,,
0:41,"MISS JUMPER by STEVENS,SAM",,,,
--,,,,,REBOUND DEF by TEAM
0:41,,,,,"SUB OUT by REESE,JALEN"
0:41,,,,,"SUB IN by RIDEOUT,MATTHEW"
0:25,,,,,TIMEOUT TEAM by TEAM
0:14,"FOUL by STEVENS,SAM",,,,
0:14,,71,,73 (+2),"GOOD FT by MORGAN,HANK"
0:14,,,,,"SUB OUT by RIDEOUT,MATTHEW"
0:14,,,,,"SUB IN by REESE,JALEN"
0:14,,71,,74 (+3),"GOOD FT by MORGAN,HANK"
0:14,,,,,"SUB OUT by KANE,OWEN"
0:14,,,,,"SUB IN by ROBINSON,GRAHAM"
0:14,TIMEOUT TEAM by TEAM,,,,
0:14,,,,,"SUB OUT by ROBINSON,GRAHAM"
0:14,,,,,"SUB IN by KANE,OWEN"
0:12,TIMEOUT TEAM by TEAM,,,,
0:11,,,,,"FOUL by REESE,JALEN"
0:11,"MISS FT by WITHERINGTON,EDWARD(fastbreak)",,,,
--,,,,,"REBOUND DEF by KEYHANI,GARRET"
0:09,"FOUL by BRENNAN,DAVID",,,,
0:09,"SUB OUT by BRENNAN,DAVID",,,,
0:09,"SUB IN by NEWELL,MARK",,,,
0:09,,71,,75 (+4),"GOOD FT by KEYHANI,GARRET(fastbreak)"
0:09,,71,,76 (+5),"GOOD FT by KEYHANI,GARRET(fastbreak)"
0:09,,,,,TIMEOUT 30SEC by TEAM
0:08,"TURNOVER by NEWELL,MARK",,,,
0:08,,,,,"STEAL by REESE,JALEN"
